"Qty","Reference","Value","Description","Datasheet","Footprint","DNP","Manufacturer","Part Number"
"1","C1","22nF","Capacitor, 22nF, MLCC, 50V, X7R, 10%, 0402","~","Capacitor_SMD:C_0402_1005Metric","","Murata","GRM155R71H223KA12J"
"1","C7","22uF","Capacitor, 22uF, MLCC, 6.3V, X5R, 20%, 0603","~","Capacitor_SMD:C_0603_1608Metric","","Murata","GRM188R60J226MEA0D"
"2","C11,C13","1uF","Capacitor, 1uF, MLCC, 50V, X5R, 20%, 0805","~","Capacitor_SMD:C_0805_2012Metric","","YAGEO","CC0805MKY5V9BB105"
"2","C2,C4","4.7uF","Capacitor, 4.7uF, MLCC, 50V, X5R, 20%, 0805","~","Capacitor_SMD:C_0805_2012Metric","","TAIYO YUDEN","MSASU21GBB5475KTNA01"
"2","C3,C5","47uF","Capacitor, 47uF, MLCC, 10V, X5R, 20%, 0805","~","Capacitor_SMD:C_0805_2012Metric","","TAIYO YUDEN","MSASL21GBB5476MTNA01"
"3","C6,C10,C12","100nF","Capacitor, 100nF, MLCC, 50V, X7R, 10%, 0402","~","Capacitor_SMD:C_0402_1005Metric","","Samsung","CL05B104KB54PNC"
"2","C8,C9","1uF","Capacitor, 1uF, MLCC, 25V, X5R, 10%, 0402","~","Capacitor_SMD:C_0402_1005Metric","","Samsung","CL05A105KA5NQNC"
"1","D2","ESDS452","5.5-V Bi-Directional TVS Diode","https://www.ti.com/lit/ds/symlink/esds452.pdf","Package_TO_SOT_SMD:SOT-23","","Texas Instruments","ESDS452DBZR"
"1","D3","USBLC6-2SC6","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Package_TO_SOT_SMD:SOT-23-6","","STMicroelectronics","USBLC6-2SC6"
"1","D5","SK6812-4020","RGB LED with integrated controller, 4mm x 2mm Side LED package","https://cdn-shop.adafruit.com/product-files/4691/4691_SK68XX_SIDE_REV.04_EN_1_.pdf","SK6812-4020:SK6812-4020","","Adafruit","4691"
"1","D6","SD36C-01F","36V, 450W Discrete Bidirectional TVS Diode, SOD-323","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sd_c_datasheet.pdf.pdf","Diode_SMD:D_SOD-323","","Littelfuse","SD36C-01FTG"
"2","D1,D4","SS2FH6HM3/H","40V 2A Schottky Barrier Rectifier Diode, SMF(DO-219AB)","https://www.vishay.com/docs/87731/ss2fh6.pdf","Diode_SMD:D_SMF","","Vishay","SS2FH6HM3/H"
"1","J1","Screw_Terminal_01x02","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-pta-15-2-35-1988956","1984769:1984769","","Phoenix Contact","1988956"
"1","J2","USB-C","Connector, USB 2.0, 16P, Type-C, Receptacle","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","","Phoenix Contact","1332645"
"1","L1","1uH","Inductor, 1uH, 3.3A, 20%, 1008","~","Inductor_SMD:L_0805_2012Metric","","TDK","MLP2012S1R0MT0S1"
"1","M1","Fan_CPU_4pin","CPU Fan, tacho output, PWM input, 4-pin connector","http://www.formfactors.org/developer%5Cspecs%5Crev1_2_public.pdf","Connector:FanPinHeader_1x04_P2.54mm_Vertical","","Molex","47053-1000"
"1","R1","200KΩ","Resistor, 200KΩ, 62.5mW,100PPM, 1%, 0402","~","Resistor_SMD:R_0402_1005Metric","","Vishay / Dale","CRCW0402200KFKED"
"1","R2","75KΩ","Resistor, 75KΩ, 62.5mW, 25PPM, 0.1%, 0402","~","Resistor_SMD:R_0402_1005Metric","","YAGEO","RT0402BRD0775KL"
"1","R3","24KΩ","Resistor, 24KΩ, 62.5mW, 25PPM, 0.1%, 0402","~","Resistor_SMD:R_0402_1005Metric","","YAGEO","RT0402BRD0724KL"
"1","R12","107KΩ","Resistor, 107KΩ, 62.5mW, 25PPM, 0.1%, 0402","~","Resistor_SMD:R_0402_1005Metric","","YAGEO","RT0402BRD07107KL"
